,title,author,total words,vividness,passive voice,all adverbs,ly-adverbs,non-ly-adverbs,genre,year
116,Dead Man's Hand,George R. R. Martin & John Jos. Miller,118221.0,57.36,7.57,2.89,1.16,1.73,[],
117,The Games House,Claire North,107360.0,50.98,7.2,2.96,0.73,2.23,[],
118,Death Comes to Dartmoor,Vivan Conroy,78052.0,46.93,9.41,3.09,0.9,2.18,"['Mystery', 'Historical Fiction', 'Historical Mystery', 'Historical', 'British Literature', 'Cozy Mystery', 'Fiction']",2019.0
119,No Escape,Nolon King & David Wright,74430.0,40.5,8.35,2.73,0.67,2.07,[],
120,Empire Games Series,Charles Stross,106636.0,44.6,7.65,3.19,1.37,1.82,[],
121,The Hardy Boys: Game Plan For Disaster,Franklin W. Dixon,35794.0,31.67,9.14,3.17,1.08,2.09,[],
122,The New Girl,Ingrid Alexandria,70824.0,56.34,9.39,2.64,0.8,1.84,[],
123,The Lazy Man's Guide to Marathon Running,Sky Pelletier Waterpeace,87296.0,40.78,7.62,4.43,2.11,2.32,[],
124,"Reaper, Drone Strike",Nichalas Irving & A. J. Tata,89558.0,50.76,7.57,2.27,0.87,1.4,"['Fiction', 'Thriller', 'War', 'Military Fiction']",2020.0
125,The Otherside of Midnight,Sidney Sheldon,135704.0,37.09,8.49,2.71,1.16,1.55,[],
126,Guarded Prognosis,"Richard L. Mabry, M. D.",64500.0,32.4,9.23,2.9,0.86,2.03,[],
127,I'm Glad My Mom Died,Jennette Mccurdy,86764.0,44.2,8.96,3.49,1.11,2.39,[],2023.0
128,Sky Lift,Robert A. Heinlein,5319.0,40.63,8.12,2.84,0.98,1.86,[],
129,The Creative Mindset,Jeff DeGraff & Staney DeGraff,35768.0,28.46,6.22,2.87,1.08,1.79,"['Business', 'Nonfiction']",2020.0
130,Portral,Kristen Painter & Bruno Miller,68652.0,42.84,9.5,3.25,1.11,2.14,[],
131,Slow Burn,Rachel Caine,80192.0,76.45,6.19,2.36,0.95,1.41,[],
132,A Lady of Quality,Frances Hodgson Burnett,84150.0,41.45,7.52,2.66,0.63,2.03,[],
133,Raising an Emotionally Intelligent Child,John Gottman & Joan Declaire,68991.0,18.41,7.53,3.31,1.27,2.04,"['Parenting', 'Nonfiction', 'Psychology', 'Self Help', 'Childrens', 'Relationships', 'Education']",1997.0
134,Death by Alphabet,Kristine Frost,71165.0,32.03,10.62,2.59,0.92,1.67,[],
135,Nancy Drew: The Spider Saphire Mystery,Carolyn Keene,34823.0,45.26,8.04,2.98,1.1,1.88,[],
136,Umtata,Brian Godfrey,68775.0,31.13,8.27,2.87,1.0,1.87,[],
137,The Hardy Boys: One False Step,Franklin W. Dixon,30531.0,32.85,9.3,3.28,0.95,2.33,[],
138,Hear Me,Julie North,77858.0,65.25,7.34,2.63,0.94,1.69,[],2017.0
139,Dead Astronauts,Jeff Vandermeer,64472.0,68.95,6.69,2.48,0.23,2.24,"['Science Fiction', 'Fiction', 'Fantasy', 'Weird Fiction', 'Dystopia', 'Horror', 'Speculative Fiction']",2019.0
140,The Rebel and the Thief,Jan-Philipp Sendker,71242.0,49.79,8.56,2.79,0.9,1.89,[],
141,What She Didnt See,Heather Wynter,29894.0,43.71,8.17,2.19,0.36,1.83,[],
142,Bobby Hall,This Bright Future,121867.0,33.35,10.12,2.89,0.67,2.22,[],
143,First Lensman,Edward E. Smith,98399.0,33.8,9.08,4.74,2.1,2.64,[],
144,Winterborn,Sherrilyn Kenyon,20983.0,41.92,8.51,3.08,1.15,1.93,[],
145,Raven,Tim Reiterman & John Jacobs,269125.0,37.0,5.96,2.67,1.15,1.52,[],
146,What Hell Is Not,Alessandro D'Avenia,84447.0,45.82,9.18,2.61,0.59,2.01,"['Fiction', 'Italian Literature', 'Contemporary', 'Italy', 'School', 'Novels', 'Read For School']",2014.0
147,The Ruin Of Snow,Lacy Shweidan,114487.0,49.53,8.6,2.1,0.44,1.66,[],2021.0
148,House of Fear and Freedom,Kimberly J. Ward,101775.0,65.29,6.88,3.26,1.44,1.82,['Fantasy'],2019.0
149,397 Journal Writing Prompts & Ideas,Scott Green,8101.0,30.07,10.69,3.0,0.79,2.21,[],
150,Cole Mine,Michael Maxwell,70541.0,39.96,8.4,2.8,0.93,1.87,[],2019.0
151,The Failures of Sherlock Holmes,Annette Siketa,60317.0,33.66,8.39,4.06,1.59,2.48,[],
152,Just Kill Them,Michael Lesse,78885.0,31.47,9.95,3.35,1.21,2.14,"['Crime', 'Mystery']",2019.0
153,Spellbound,Kelley Armstrong,91922.0,35.04,9.56,2.91,0.79,2.12,[],
154,Children of the White Star,Linda Thackery,96768.0,36.83,7.98,2.72,0.97,1.76,[],2019.0
155,The Blood of Saints,Nick Dorsey,100482.0,47.97,8.14,2.35,0.57,1.78,[],
156,Mountain Ghost,Christoffer Petersen,63413.0,48.84,6.71,2.17,0.43,1.75,[],
157,Bay of Killers,Paul Sinclair,82690.0,42.97,7.85,3.04,1.09,1.95,[],
158,The Third Bear,Jeff Vandermeer,96070.0,54.21,7.56,2.63,0.7,1.92,"['Fantasy', 'Short Stories', 'Fiction', 'Horror', 'Science Fiction', 'New Weird', 'Weird Fiction']",2010.0
159,The Hardy Boys: Three-Ring Terror,Franklin W. Dixon,30596.0,41.5,7.45,2.61,0.93,1.69,[],
160,Jack O'Donnell,Lily Poole,85512.0,75.16,5.37,1.62,0.53,1.09,[],
161,My Lover's Lover,Maggie O'Farrell,80291.0,74.99,7.17,2.77,0.86,1.91,"['Fiction', 'Contemporary', 'Romance', 'Mystery', 'Literary Fiction', 'Suspense', 'Chick Lit']",2002.0
162,Congo Journey,Redmond O'Hanlon,202914.0,74.84,6.02,2.1,0.65,1.45,"['Travel', 'Africa', 'Nonfiction', 'Adventure', 'Memoir', 'Animals', 'Biography']",1996.0
163,Northern Light,Christopher Petersen,65083.0,43.27,7.29,1.99,0.54,1.45,['Thriller'],
164,The Hardy Boys: Cross-country Crime,Franklin W. Dixon,31549.0,44.59,7.54,2.55,0.66,1.89,[],
165,Time is a Killer,Michael Bussi,133934.0,49.34,7.76,2.51,0.83,1.68,"['Thriller', 'Crime', 'Mystery', 'France', 'Fiction', 'Roman', 'Suspense']",2016.0
166,Salt Slow,Julie Armfield,47689.0,77.25,5.73,2.35,1.16,1.2,"['Short Stories', 'Fiction', 'Horror', 'Fantasy', 'Magical Realism', 'Queer', 'LGBT']",2019.0
167,The Hardy Boys: Trouble Times Two,Franklin W. Dixon,29034.0,41.03,7.91,2.94,1.0,1.95,[],
168,Burn Town,Jennifer McMahon,86163.0,66.05,7.8,2.51,0.65,1.86,[],
169,Within the Shadows,J. D. MCG,79050.0,33.03,8.21,2.32,0.7,1.62,[],
170,Aparitions,Noel Scanlon,55559.0,57.44,8.39,2.95,1.34,1.61,[],
171,The Golden Age and Other Stories,Naomi Novik,42831.0,41.66,7.71,3.92,1.66,2.26,[],
172,Useless Bay,Mary Jane Beaufrand,42941.0,50.63,9.5,2.84,0.68,2.16,[],
173,Endurance,Brunoo Miller,42029.0,43.12,8.19,2.82,1.0,1.82,['Dystopia'],2019.0
174,Such A Pretty Smile,Kristi Demeester,94144.0,52.1,7.97,2.58,0.69,1.89,"['Horror', 'Thriller', 'Fiction', 'Mystery', 'Feminism', 'Adult', 'Mystery Thriller']",2022.0
175,Fox in the Hen House,James Lawson,21282.0,45.54,8.2,2.48,1.0,1.48,[],
176,Leave It To Psmith,P. G. Wodehouse,90897.0,36.36,8.47,3.72,1.73,1.99,[],
177,The Survivors of the Chancellor,Jules Verne,52991.0,45.48,8.04,3.53,1.48,2.05,[],
178,The Hardy Boys: Trick-or-Trouble,Franklin W. Dixon,30113.0,49.25,6.84,2.32,0.71,1.6,[],
179,Mr. Nice,John NIcholl,67408.0,37.72,9.52,3.08,1.1,1.98,"['Psychological Thriller', 'Thriller', 'Suspense', 'Mystery', 'Fiction']",2020.0
180,Regrettable Things That Happenened Yesterday,Jennani Durai,42020.0,32.2,8.09,3.97,1.63,2.34,[],
181,The Forbidden Place,Suzanne Jansson,66632.0,46.87,8.63,3.36,1.05,2.31,"['Mystery', 'Thriller', 'Crime', 'Fiction', 'Mystery Thriller', 'Contemporary', 'Audiobook']",2018.0
182,I Am Karma,Davie J. Toothill,103570.0,31.2,10.44,2.64,0.88,1.76,[],
183,The Voiceless,Faye Kellerman,2534.0,62.4,7.7,2.37,0.67,1.7,[],
184,Before He Stalks,Blake Piecre,60343.0,30.24,8.92,3.29,1.12,2.17,"['Thriller', 'Fiction', 'Mystery Thriller', 'Crime', 'Mystery']",2019.0
185,Either Or,Elif Bautuman,106416.0,33.31,9.76,3.68,1.34,2.34,[],2023.0
186,Every Little Sign,Michelle Pace,81633.0,59.43,7.39,3.13,0.97,2.16,['Thriller'],2023.0
187,As Needed for Pain,Daniel Peres,67636.0,51.97,8.2,2.38,1.16,1.22,[],
188,Dreadful,Jana DeLeon,79954.0,29.76,10.07,2.99,0.96,2.03,"['Mystery', 'Thriller', 'Crime', 'Fiction', 'Mystery Thriller', 'Adult', 'Audiobook']",2018.0
189,Dune: House of Corrino,Brian Herbert & Kevin J. Anderson,177720.0,54.28,6.18,2.6,1.01,1.6,[],
190,Privateer,Josephine Tey,95964.0,42.28,7.91,2.57,0.72,1.85,[],
191,Chronicle of a Death Foretold,Gabriel Garcia Marquez,29163.0,45.14,7.07,2.23,0.44,1.79,[],
192,Fake Plastic Love,Kimberly Tait,126881.0,57.41,6.83,3.1,1.54,1.55,"['Fiction', 'New York', 'Contemporary', 'Chick Lit']",2017.0
193,Vanishing,Cai Emmons,40181.0,64.74,7.49,2.93,1.09,1.84,[],
194,Scorpio,Alathia Morgan,30352.0,23.11,11.1,2.97,0.87,2.1,[],
195,Defiance of the Fall: Book 8,TheFirstDefier,222014.0,46.02,7.68,3.59,1.75,1.84,[],
196,Game Ten,James Long,96533.0,47.91,7.69,3.01,1.07,1.94,[],
197,Touch of Shadow,Billinda Sheehan,78167.0,41.7,8.45,2.88,1.2,1.68,"['Urban Fantasy', 'Vampires', 'Fae', 'Witches', 'Magic']",2017.0
198,Patricia Bradley,Justice Delayed,94857.0,38.21,9.43,2.39,0.58,1.82,[],
199,The Hardy Boys: Mystery On Makatunk Island,Franklin W. Dixon,32170.0,50.5,7.59,2.84,1.03,1.82,[],
200,Crime of Spelled Ink,Haley Gordon,46711.0,35.92,9.45,3.35,1.2,2.16,[],2019.0
201,Blaze Me a Sun,Christopher Carlsson,111446.0,38.88,9.61,3.22,0.93,2.29,[],2023.0
202,Queen of Myth and Monsters,Scarlett St. Claire,93385.0,44.03,7.99,2.45,0.59,1.86,[],2023.0
203,The Golden Age,Gore Vidal,160357.0,34.9,8.62,4.21,1.44,2.78,[],
204,Under the Ice,Rachel Blok,81872.0,59.78,9.22,2.71,0.81,1.89,"['Thriller', 'Mystery', 'Fiction', 'Mystery Thriller', 'Christmas', 'Crime', 'Suspense']",2018.0
205,Needle Ash,David V. Stweart,36588.0,45.82,7.85,2.92,1.05,1.87,[],
206,Now in November,Josephine W. Johnson,48473.0,54.16,7.58,2.67,0.43,2.24,[],
207,Tipping Point: Opening Shots,John O'Brien,84870.0,46.58,7.0,2.75,1.09,1.66,[],2021.0
208,Dean H. Bergevin,Luna City The Moon,100607.0,30.11,8.64,3.23,1.19,2.04,[],
209,The Hardy Boys: The Baseball Card Conspirac,Franklin W. Dixon,31546.0,44.22,6.77,2.49,1.04,1.46,[],
210,Grey Flesh Flies,Matthew Smith,32160.0,46.98,7.29,3.22,1.42,1.8,[],
211,Party Games,R. L. Stine,52184.0,64.53,7.16,2.33,0.88,1.45,"['Horror', 'Young Adult', 'Mystery', 'Thriller', 'Fiction', 'Audiobook', 'Mystery Thriller']",2014.0
212,The Hardy Boys: Ghost of a Chance,Franklin W. Dixon,30360.0,53.69,7.46,2.66,0.91,1.76,[],
213,Suzanne Johnson,Belle Chasse,93409.0,46.82,8.49,2.81,0.86,1.95,[],
214,The Last Crown,Elzbieta Cherezinska,194609.0,42.96,8.2,2.42,0.9,1.52,"['Historical Fiction', 'Polish Literature', 'Fiction', 'Fantasy', 'Historical', 'Medieval', 'Novels']",2016.0
215,Intentional Mindset,Dave Anderson,54341.0,21.46,7.46,3.3,1.32,1.98,[],
216,Extinction,S. D. Perry,77545.0,41.55,8.25,3.01,1.02,1.99,[],2016.0
217,The Hardy Boys: Sky Sabotage,Franklin W. Dixon,31844.0,48.68,7.87,3.09,0.95,2.14,[],
