,index,title,author,total words,vividness,passive voice,all adverbs,ly-adverbs,non-ly-adverbs,year,genres,num final genres
62,63,Only Girl Alive,Holly S. Roberts,73889.0,38.09,8.68,2.41,1.01,1.4,2023.0,"['Thriller', 'Mystery', 'Contemporary']",3
63,64,The Year Of The Jackpot,Robert A. Heinlein,12609.0,48.28,8.02,3.09,1.09,2.01,1952.0,"['Classics', 'Fantasy', 'Science Fiction']",3
64,65,The System,Ryan Gattis,127563.0,37.64,8.74,3.14,0.47,2.67,2020.0,"['Thriller', 'Mystery', 'Crime', 'Suspense']",4
65,66,The Kinder Poison,Natalie Mae,109351.0,57.36,8.85,2.88,0.91,1.97,2020.0,"['Fantasy', 'Young Adult', 'Romance']",3
66,67,Drop by Drop,Morgan Llywelyn,66326.0,50.34,8.89,2.41,0.78,1.63,2018.0,"['Science Fiction', 'Fantasy', 'Mystery']",3
67,68,Slow Ride,Lorelei James,8518.0,55.2,7.28,3.44,1.13,2.31,2010.0,"['Romance', 'Contemporary']",2
68,69,This Time Tomorrow,Emma Straub,82071.0,46.78,8.94,2.98,0.89,2.09,2022.0,"['Science Fiction', 'Contemporary', 'Fantasy', 'Adult']",4
69,70,River of Fallen Angels,Laura Joh Rowland,95010.0,55.52,7.43,2.1,0.63,1.47,2023.0,"['Historical Fiction', 'Mystery', 'Historical']",3
70,71,Things You Save in a Fire,Katherine Center,92758.0,35.92,9.13,3.27,0.96,2.31,2019.0,"['Romance', 'Contemporary', 'Adult']",3
71,72,The Stranger Game,Peter Gadol,58083.0,44.0,8.89,3.39,0.86,2.53,2018.0,"['Thriller', 'Mystery', 'Crime', 'Suspense']",4
72,73,Crossroads of Twilight,Robert Jordan,264669.0,55.94,7.99,3.31,1.26,2.05,2003.0,"['Fantasy', 'Science Fiction']",2
73,74,A Tyranny of Queens,Foz Meadows,115252.0,45.76,7.64,3.62,1.48,2.14,2017.0,"['Fantasy', 'Young Adult']",2
74,75,If You Tell,Gregg Olsen,98006.0,32.6,9.41,2.84,0.86,1.98,2019.0,"['Crime', 'Mystery', 'Thriller', 'Horror']",4
75,76,City of the Dead,S. D. Perry,79303.0,60.76,7.78,2.66,1.16,1.5,1999.0,"['Horror', 'Science Fiction', 'Fantasy']",3
76,77,Absolute Proof,Peter James,155757.0,45.62,8.06,3.19,1.19,2.0,2019.0,"['Thriller', 'Crime', 'Mystery', 'Suspense', 'Adventure']",5
77,79,A Secret Life,Christobel Kent,88555.0,54.56,8.94,2.97,0.9,2.07,2019.0,"['Thriller', 'Mystery']",2
78,80,Agent in Place,Mark Greaney,169129.0,40.54,7.14,2.61,0.78,1.83,2018.0,"['Thriller', 'Mystery', 'Suspense']",3
79,81,The Leaving Party,Lesley Sanderson,63548.0,53.19,9.76,2.62,0.74,1.88,2020.0,"['Thriller', 'Mystery', 'Suspense']",3
80,82,Spell for Chameleon,Piers Anthony,111300.0,46.51,9.58,4.25,1.79,2.45,1977.0,"['Young Adult', 'Fantasy', 'Science Fiction']",3
81,83,Liquid Crystal Nightingale,Eeleen Lee,76762.0,60.72,5.73,2.09,0.59,1.5,2020.0,['Science Fiction'],1
82,84,The Strange Case of Dr. Jekyll and Mr. Hyde,Robert Louis Stevenson,25648.0,35.93,7.2,3.49,1.08,2.41,1886.0,"['Classics', 'Horror', 'Science Fiction', 'Fantasy']",4
83,85,The Generals Have No Clothes,William M. Arkin,51366.0,23.41,6.22,3.26,1.28,1.97,2021.0,['History'],1
84,86,The Disappearance of Sloane Sullivan,Gia Cribbs,102146.0,44.81,7.84,2.69,0.87,1.83,2018.0,"['Thriller', 'Mystery', 'Contemporary', 'Young Adult', 'Romance']",5
85,87,The Burning Girls,C. J. Tudor,91223.0,60.09,8.44,3.33,1.25,2.08,2021.0,"['Thriller', 'Mystery', 'Adult', 'Horror']",4
86,88,The Iron Heel,Jack London,86558.0,30.99,8.09,2.77,1.02,1.75,1908.0,"['Classics', 'Science Fiction']",2
87,89,Giovanni's Room,James Baldwin,55145.0,39.25,9.08,4.0,1.21,2.79,1956.0,"['Classics', 'Romance']",2
88,90,The Girls in the Snow,Stacy Green,88454.0,38.39,9.34,2.56,0.93,1.63,2020.0,"['Thriller', 'Mystery', 'Crime', 'Suspense']",4
89,91,Beach Lawyer,Avery Duff,100106.0,42.24,6.48,2.55,0.43,2.12,2017.0,"['Mystery', 'Thriller', 'Suspense']",3
90,92,The Christmas Star,Donna VanLiere,43711.0,51.1,7.99,2.33,0.52,1.81,2018.0,"['Romance', 'Contemporary']",2
91,93,Highway of Tears,Jessica McDiarmid,88764.0,31.92,6.86,2.3,0.79,1.51,2019.0,"['History', 'Crime']",2
92,94,Gods and Men,Christopher Hopper,112389.0,49.25,7.0,2.81,0.68,2.13,2020.0,['Science Fiction'],1
93,95,Breathless,Dean Koontz,75685.0,60.49,6.82,2.53,0.92,1.61,2009.0,"['Horror', 'Thriller', 'Suspense', 'Mystery', 'Fantasy', 'Science Fiction']",6
94,96,Cryptid Quest,Anthony M. Strong,71021.0,49.26,7.98,2.74,0.73,2.01,2021.0,"['Horror', 'Adventure']",2
95,97,The Foundling,Ann Leary,108228.0,40.94,8.88,3.47,0.94,2.53,2022.0,"['Thriller', 'Historical', 'Mystery', 'Adult', 'Historical Fiction']",5
96,98,Ashes to Ashes,Paul Finch,130012.0,50.41,8.49,3.71,1.57,2.13,2017.0,"['Thriller', 'Mystery', 'Crime']",3
97,99,Black Beauty,Anna Sewell,59790.0,41.69,8.9,3.86,0.66,3.2,1877.0,"['Classics', 'Young Adult', 'Historical Fiction']",3
98,100,Reading Jackie,William Kuhn,105571.0,27.51,6.82,2.5,0.84,1.66,2010.0,"['Biography', 'History']",2
99,101,Finger Collector,Thomas H. Ward,51949.0,41.26,8.56,2.74,0.69,2.05,2017.0,['Thriller'],1
100,102,Modern Romance,Aziz Ansari & Eric Klinenberg,69033.0,24.5,7.87,3.55,1.46,2.09,2015.0,['Romance'],1
101,103,Tastes Like Fear,Sarah Hilary,100588.0,47.27,9.7,2.04,0.45,1.58,2016.0,"['Thriller', 'Mystery', 'Crime']",3
102,104,The Paradise Affair,Bill Pronzini,48913.0,54.75,7.75,2.9,1.05,1.85,2021.0,"['Mystery', 'Historical']",2
103,105,Both/And,Huma Abedin,183168.0,31.21,7.59,2.98,1.02,1.95,2021.0,"['Memoir', 'Biography', 'History']",3
104,106,Inheritors,Asako Serizawa,70863.0,55.34,6.88,2.68,0.85,1.83,2020.0,"['Historical Fiction', 'Literary Fiction', 'Historical']",3
105,108,Team of Teams,Stanley McChrystal,88822.0,31.3,6.09,2.75,1.36,1.38,2015.0,['History'],1
106,109,Revolutions: A Very Short Introduction,Jack A. Goldstone,37709.0,21.15,4.28,2.73,1.1,1.63,2012.0,"['History', 'Historical']",2
107,110,Here Goes Nothing,Steve Toltz,88318.0,48.26,8.33,3.13,1.21,1.92,2022.0,"['Literary Fiction', 'Contemporary', 'Fantasy']",3
108,111,Making Contact,Alan Steinfeld,82479.0,27.31,8.01,2.8,1.06,1.74,2021.0,['Paranormal'],1
109,112,The Lies We Tell,Debra Webb,83583.0,35.47,9.6,2.8,0.98,1.82,2019.0,"['Thriller', 'Mystery', 'Crime', 'Adult', 'Suspense']",5
110,113,Shards of a Broken Crown,Raymond E. Feist,168281.0,41.64,7.96,2.62,0.81,1.82,1998.0,"['Fantasy', 'Science Fiction']",2
111,114,The Bright Lord,Alex Knowles,48986.0,33.08,9.87,3.13,0.83,2.29,2020.0,"['Fantasy', 'Science Fiction']",2
112,115,The Queen of the Night,Alexander Chee,185922.0,44.71,7.88,3.31,0.8,2.51,2016.0,"['Historical Fiction', 'Historical', 'Mystery', 'Literary Fiction']",4
113,116,Life Itself,Roger Ebert,145242.0,43.56,7.21,2.32,0.76,1.56,2011.0,"['Memoir', 'Biography']",2
114,117,Tides of the Titans,Thoraiya Dyer,107094.0,71.96,7.69,2.75,1.1,1.65,2019.0,['Fantasy'],1
115,118,"Girl, Under Oath",John Ellsworth,81513.0,27.88,9.14,3.04,0.74,2.3,2021.0,"['Mystery', 'Thriller']",2
116,119,Capturing the Devil,Kerri Maniscalco,118212.0,50.84,8.08,3.35,1.4,1.95,2019.0,"['Historical Fiction', 'Mystery', 'Young Adult', 'Romance', 'Historical', 'Fantasy', 'Thriller']",7
117,120,Brave New Girl,Rachel Vincent,60991.0,56.83,8.4,3.22,1.08,2.14,2017.0,"['Young Adult', 'Science Fiction', 'Romance', 'Fantasy']",4
118,122,Comfort Zone,Stephen Bentley,34197.0,41.87,8.08,2.7,0.74,1.96,2020.0,"['Thriller', 'Suspense', 'Crime']",3
119,123,Neverwhere,Neil Gaiman,98352.0,61.11,6.98,3.43,1.37,2.06,1996.0,"['Fantasy', 'Science Fiction', 'Horror']",3
120,124,Who Is Vera Kelly,Rosalie Knecht,60289.0,56.18,7.73,2.42,0.79,1.63,2018.0,"['Historical Fiction', 'Mystery', 'Historical', 'Thriller']",4
121,125,Hostage to Fortune,Sarah Hawkswood,75033.0,38.56,8.62,3.34,1.05,2.29,2019.0,"['Mystery', 'Historical Fiction', 'Historical']",3
122,126,The Protectors,Victor Kloss,84574.0,41.98,8.1,3.41,1.5,1.91,2016.0,"['Fantasy', 'Young Adult', 'Mystery']",3
123,127,You Are Mine,Diana Wilkinson,79231.0,57.77,7.67,2.51,1.07,1.43,2020.0,['Thriller'],1
124,128,"Three Sisters, Three Queens",Philippa Gregory,194442.0,35.32,9.07,2.65,0.87,1.78,2016.0,"['Historical Fiction', 'Historical', 'Romance']",3
125,129,Girls of Salt and Sea,Natalia Macias Lucia,131328.0,71.49,6.18,2.71,1.21,1.49,2022.0,"['Mystery', 'Adult', 'Romance']",3
126,130,The Perfect Candidate,Peter Stone,78177.0,44.97,6.53,3.07,1.29,1.78,2018.0,"['Mystery', 'Thriller', 'Young Adult']",3
127,131,Lover Eternal,J. R. Ward,126067.0,51.98,8.27,2.61,0.82,1.79,2006.0,"['Romance', 'Paranormal', 'Fantasy', 'Adult']",4
128,132,How Angel Peterson Got His Name,Gary Paulsen,19324.0,54.77,7.45,3.18,1.05,2.13,2003.0,['Young Adult'],1
129,133,The Daring Night,Robert McCracken,72390.0,44.11,8.13,3.01,1.02,1.99,2020.0,['Crime'],1
130,134,Letters of Emily Dickinson,Emily Dickinson,92182.0,41.0,8.59,3.77,0.73,3.04,1998.0,"['Classics', 'Memoir']",2
131,135,Followers,Megan Angelo,117009.0,59.66,7.35,2.81,0.96,1.85,2020.0,"['Science Fiction', 'Contemporary', 'Adult']",3
132,137,Halting State,Charles Stross,107014.0,48.14,8.02,3.17,1.28,1.89,2011.0,"['Science Fiction', 'Mystery', 'Crime']",3
133,138,Dream Country,Shannon Gibney,73779.0,45.89,6.96,3.53,1.25,2.28,2018.0,"['Historical Fiction', 'Young Adult', 'Historical', 'Contemporary']",4
134,139,Silent Weapon,Andy McNab,68331.0,44.51,8.4,3.08,1.05,2.02,2017.0,['Adventure'],1
135,140,Ashes of the Sun,Django Wexler,167631.0,56.53,7.15,2.77,1.27,1.5,2020.0,"['Fantasy', 'Adult']",2
136,141,A Dreadful Splendor,B. R. Myers,107457.0,50.94,7.91,2.85,1.0,1.85,2022.0,"['Mystery', 'Historical Fiction', 'Romance', 'Fantasy', 'Historical']",5
137,142,The Revenant and the Tomb,Herman P. Hunter,39661.0,75.33,3.8,2.29,1.0,1.28,2022.0,['Fantasy'],1
138,143,Sissy: A Coming-of-Gender Story,Jacob Tobia,98938.0,39.66,8.4,3.44,1.47,1.97,2019.0,"['Memoir', 'Biography']",2
139,144,The Scientists,John Gribbin,228781.0,32.61,5.67,2.98,1.26,1.72,2002.0,"['History', 'Biography']",2
140,145,Sole Survivor,Dean Koontz,110458.0,58.51,7.07,2.76,1.1,1.66,1997.0,"['Thriller', 'Mystery', 'Suspense', 'Fantasy', 'Horror']",5
141,146,Scales of Empire,Kylie Chan,128896.0,44.17,8.29,2.79,0.99,1.81,2018.0,"['Science Fiction', 'Fantasy']",2
142,147,Dungeon Worlds,Aurora Weiss,68187.0,43.52,8.09,2.83,0.98,1.85,2020.0,"['Science Fiction', 'Fantasy']",2
143,148,Art History: A Very Short Introduction,Dana Arnold,32731.0,32.86,5.94,2.91,0.99,1.92,2004.0,['History'],1
144,149,Snuff,Chuck Palahniuk,44850.0,91.94,4.28,1.56,0.21,1.35,2008.0,"['Contemporary', 'Adult']",2
145,150,Road to Savannah,Hope Callaghan,36612.0,58.57,6.98,2.17,0.62,1.56,2016.0,['Mystery'],1
146,151,Winter's Passage,Julie Kagawa,15982.0,79.06,5.99,2.62,1.21,1.41,2010.0,"['Fantasy', 'Young Adult', 'Romance', 'Paranormal']",4
147,152,No Cure For Being Human,Kate Bowler,38559.0,47.37,7.76,3.22,1.35,1.87,2021.0,"['Memoir', 'Biography']",2
148,153,The Hardy Boys: Day of the Dinosaur,Franklin W. Dixon,31057.0,45.64,7.31,3.23,1.45,1.78,1994.0,"['Mystery', 'Classics']",2
149,154,Ain't I a Woman?,bell hooks,65135.0,46.77,6.19,2.35,1.32,1.03,1981.0,['History'],1
150,155,Machine Learning,Hugh Howey,101858.0,52.92,7.58,2.27,0.61,1.66,2017.0,"['Fantasy', 'Science Fiction']",2
151,156,The Appraisal,Anna Porter,92840.0,44.89,9.04,2.47,0.73,1.74,2017.0,"['Thriller', 'Mystery', 'Contemporary', 'Historical Fiction']",4
152,157,Stolen Time,Danielle Rollins,88760.0,57.65,8.02,2.81,0.94,1.87,2019.0,"['Young Adult', 'Science Fiction', 'Fantasy', 'Romance', 'Historical Fiction']",5
153,158,The House of Shattered Wings,Aliette De Bodard,126560.0,47.75,9.58,2.86,1.07,1.79,2015.0,"['Fantasy', 'Mystery', 'Adult']",3
154,159,How to be Good,Nick Hornby,90861.0,27.73,10.7,3.8,1.27,2.53,2001.0,['Contemporary'],1
155,160,The Alice Network,Kate Quinn,142595.0,54.22,7.81,2.96,0.99,1.98,2017.0,"['Historical Fiction', 'Historical', 'Adult']",3
156,161,Desperation,Stephen King,192646.0,51.42,7.97,2.98,0.96,2.01,1996.0,"['Horror', 'Thriller', 'Fantasy', 'Suspense', 'Paranormal']",5
157,162,Africaville,Jeffrey Colvin,109442.0,50.17,7.25,2.1,0.43,1.66,2019.0,"['Historical Fiction', 'Historical']",2
158,163,The Found Child,Jo Crow,81979.0,31.13,9.95,3.04,0.99,2.04,2018.0,"['Thriller', 'Mystery', 'Suspense']",3
159,164,The Innkeeper's Daughter,Bianca M. Schwarz,114328.0,49.65,6.83,3.29,1.08,2.22,2015.0,"['Romance', 'Historical Fiction', 'Mystery', 'Historical']",4
160,165,Deadly Escape,Colleen Helme,86375.0,30.91,9.62,3.0,0.66,2.34,2018.0,"['Thriller', 'Paranormal', 'Mystery', 'Contemporary', 'Romance']",5
161,166,Fatal,Michael Palmer,133039.0,45.31,8.04,3.44,1.44,2.0,2002.0,"['Thriller', 'Mystery', 'Crime', 'Suspense']",4
162,167,Saint Justice,Mike Grist,97117.0,57.75,7.51,2.8,0.8,2.0,2019.0,"['Thriller', 'Mystery', 'Adventure', 'Suspense']",4
163,168,A Shocking Assassination,Cora Harrison,89894.0,39.93,8.81,3.35,1.32,2.03,2016.0,"['Thriller', 'Historical', 'Mystery', 'Crime', 'Historical Fiction']",5
164,169,Mercy's Chase,Jess Lourey,93961.0,53.31,8.27,2.26,0.8,1.46,2019.0,['Mystery'],1
165,170,Four Letter Word,J. Daniels,128840.0,46.8,7.32,2.99,1.0,1.98,2016.0,"['Romance', 'Contemporary', 'Adult']",3
166,171,"Olive Bright, Pigeoneer",Stephanie Graves,110623.0,57.16,8.08,4.1,2.32,1.78,2020.0,"['Historical Fiction', 'Mystery']",2
167,172,The Godmothers,Camille Aubray,127553.0,43.13,7.76,4.24,1.71,2.53,2021.0,"['Historical Fiction', 'Historical', 'Adult']",3
168,173,Jade,Rose Montague,59064.0,38.15,9.16,2.71,0.93,1.78,2013.0,"['Fantasy', 'Paranormal']",2
169,174,The Younger Wife,Sally Hepworth,81714.0,40.61,9.97,3.32,1.23,2.09,2021.0,"['Thriller', 'Mystery', 'Contemporary', 'Suspense']",4
170,175,Cujo,Stephen King,119095.0,53.4,8.41,3.14,1.26,1.87,1981.0,"['Horror', 'Thriller', 'Suspense', 'Adult']",4
171,176,Out of Hounds,Rita Mae Brown,76323.0,56.15,8.25,3.1,0.82,2.28,2021.0,"['Thriller', 'Mystery', 'Contemporary', 'Romance']",4
172,177,This Savage Song,Victoria Schwab,87483.0,58.19,6.86,2.32,0.65,1.67,2016.0,"['Fantasy', 'Young Adult', 'Paranormal']",3
173,178,The Mere Wife,Maria Dahvana Headley,72535.0,71.05,7.68,1.98,0.47,1.51,2018.0,"['Fantasy', 'Contemporary', 'Literary Fiction']",3
174,179,Always On,Rory Cellan-Jones,100636.0,25.55,7.31,2.79,0.96,1.83,2021.0,['History'],1
175,180,The Memory Man,Steven Savile,91519.0,37.22,9.55,2.64,0.89,1.75,2019.0,['Mystery'],1
176,182,What Blooms from Dust,James Markert,86157.0,56.28,7.46,2.95,0.67,2.27,2018.0,"['Historical Fiction', 'Fantasy', 'Mystery', 'Historical']",4
177,183,Where Men Win Glory,Jon Krakauer,121753.0,35.27,6.47,2.83,1.28,1.55,2009.0,"['Biography', 'History']",2
178,184,Nancy Drew: The Witch Tree Symbol,Carolyn Keene,34096.0,42.75,8.07,3.1,1.19,1.9,1955.0,"['Mystery', 'Young Adult', 'Classics']",3
179,185,The Other Einstein,Marie Benedict,77192.0,38.99,6.91,3.22,1.26,1.96,2016.0,"['Historical Fiction', 'Historical', 'Adult', 'Romance']",4
180,186,The Girl at Midnight,Melissa Grey,89264.0,66.35,8.08,2.43,0.93,1.5,2015.0,"['Fantasy', 'Young Adult', 'Romance', 'Paranormal']",4
181,187,Walk a Crooked Line,Susan McBride,77303.0,44.94,8.51,2.59,0.82,1.77,2018.0,"['Mystery', 'Crime', 'Thriller']",3
182,188,The Paper Palace,Miranda Cowley Heller,105723.0,82.6,7.15,2.12,0.56,1.56,2021.0,"['Romance', 'Contemporary', 'Literary Fiction', 'Adult']",4
183,189,House of Small Shadows,Adam Nevill,97187.0,67.66,7.85,2.5,0.8,1.69,2013.0,"['Horror', 'Mystery', 'Fantasy', 'Adult', 'Paranormal']",5
184,190,Hollow House,Greg Chapman,54713.0,54.26,6.98,2.27,0.71,1.56,2016.0,['Horror'],1
